work_year,salary_in_usd,employee_residence,company_size,job_group,_experience_level,_employment_type,_remote_ratio
2023,85847,ES,L,Data Scientist,senior,full-time,remote
2023,30000,US,S,ML engineer,mid-level,contract,remote
2023,25500,US,S,ML engineer,mid-level,contract,remote
2023,175000,CA,M,Data Scientist,senior,full-time,remote
2023,120000,CA,M,Data Scientist,senior,full-time,remote
2023,222200,US,L,Data Scientist,senior,full-time,on-site
2023,136000,US,L,Data Scientist,senior,full-time,on-site
2023,219000,CA,M,Data Scientist,senior,full-time,on-site
2023,141000,CA,M,Data Scientist,senior,full-time,on-site
2023,147100,US,M,Data Scientist,senior,full-time,on-site
2023,90700,US,M,Data Scientist,senior,full-time,on-site
2023,130000,US,M,Data Analyst,senior,full-time,remote
2023,100000,US,M,Data Analyst,senior,full-time,remote
2023,213660,US,L,Data Scientist,entry-level,full-time,on-site
2023,130760,US,L,Data Scientist,entry-level,full-time,on-site
2023,147100,US,M,Other,senior,full-time,on-site
2023,90700,US,M,Other,senior,full-time,on-site
2023,170000,US,M,Data Scientist,senior,full-time,on-site
2023,150000,US,M,Data Scientist,senior,full-time,on-site
2023,150000,US,M,Data Analyst,mid-level,full-time,remote
2023,110000,US,M,Data Analyst,mid-level,full-time,remote
2023,275000,DE,M,Data Scientist,senior,full-time,on-site
2023,174000,DE,M,Data Scientist,senior,full-time,on-site
2023,230000,GB,M,Analytics engineer,senior,full-time,remote
2023,143200,GB,M,Analytics engineer,senior,full-time,remote
2023,225000,US,M,Data Analyst,senior,full-time,on-site
2023,156400,US,M,Data Analyst,senior,full-time,on-site
2023,200000,US,M,ML engineer,senior,full-time,on-site
2023,130000,US,M,ML engineer,senior,full-time,on-site
2023,90000,CA,M,Other,senior,full-time,on-site
2023,72000,CA,M,Other,senior,full-time,on-site
2023,253200,US,M,Data Engineer,senior,full-time,on-site
2023,90700,US,M,Data Engineer,senior,full-time,on-site
2023,342810,US,M,ML engineer,senior,full-time,on-site
2023,184590,US,M,ML engineer,senior,full-time,on-site
2023,162500,US,M,Data Engineer,mid-level,full-time,on-site
2023,130000,US,M,Data Engineer,mid-level,full-time,on-site
2023,105380,US,M,Data Analyst,mid-level,full-time,on-site
2023,64500,US,M,Data Analyst,mid-level,full-time,on-site
2023,100000,NG,L,Data Analyst,entry-level,full-time,remote
2023,30000,NG,L,Data Analyst,entry-level,full-time,remote
2022,20984,IN,L,ML engineer,mid-level,full-time,hybrid
2023,204620,US,L,Data Scientist,entry-level,full-time,on-site
2023,110680,US,L,Data Scientist,entry-level,full-time,on-site
2023,270703,US,M,Data Engineer,senior,full-time,on-site
2023,221484,US,M,Data Engineer,senior,full-time,on-site
2023,212750,US,M,Data Scientist,senior,full-time,remote
2023,185000,US,M,Data Scientist,senior,full-time,remote
2023,262000,US,M,Data Scientist,senior,full-time,remote
2023,245000,US,M,Data Scientist,senior,full-time,remote
2023,275300,US,M,Data Scientist,senior,full-time,remote
2023,183500,US,M,Data Scientist,senior,full-time,remote
2023,218500,US,M,Data Scientist,senior,full-time,remote
2023,199098,US,M,Data Scientist,senior,full-time,remote
2023,203300,US,M,Data Engineer,senior,full-time,remote
2023,123600,US,M,Data Engineer,senior,full-time,remote
2023,189110,US,M,Data Scientist,senior,full-time,on-site
2023,139000,US,M,Data Scientist,senior,full-time,on-site
2023,258750,US,M,Data Scientist,executive,full-time,on-site
2023,185000,US,M,Data Scientist,executive,full-time,on-site
2023,231500,US,M,Data Engineer,senior,full-time,remote
2023,166000,US,M,Data Engineer,senior,full-time,remote
2023,172500,US,M,Data Scientist,senior,full-time,remote
2023,110500,US,M,Data Scientist,senior,full-time,remote
2023,238000,US,M,Data Engineer,senior,full-time,on-site
2023,176000,US,M,Data Engineer,senior,full-time,on-site
2023,237000,US,M,Data Engineer,senior,full-time,remote
2023,201450,US,M,Data Engineer,senior,full-time,remote
2023,309400,US,L,Data Scientist,senior,full-time,on-site
2023,159100,US,L,Data Scientist,senior,full-time,on-site
2023,115000,US,M,Data Engineer,senior,full-time,on-site
2023,81500,US,M,Data Engineer,senior,full-time,on-site
2023,237000,US,M,Data Scientist,senior,full-time,remote
2023,201450,US,M,Data Scientist,senior,full-time,remote
2023,280000,US,M,ML engineer,senior,full-time,on-site
2023,210000,US,M,ML engineer,senior,full-time,on-site
2023,280100,US,M,Data Architect,senior,full-time,remote
2023,168100,US,M,Data Architect,senior,full-time,remote
2023,193500,US,M,Data Engineer,senior,full-time,remote
2023,139000,US,M,Data Engineer,senior,full-time,remote
2023,65062,HK,L,Data Scientist,mid-level,full-time,on-site
2023,150000,PT,M,ML engineer,senior,full-time,remote
2023,69751,IN,S,ML engineer,mid-level,full-time,remote
2022,300000,IN,L,ML engineer,entry-level,full-time,hybrid
2023,96578,NL,L,ML engineer,mid-level,full-time,remote
2023,185900,US,M,Data Analyst,senior,full-time,on-site
2023,129300,US,M,Data Analyst,senior,full-time,on-site
2023,225000,US,M,Data Engineer,senior,full-time,remote
2023,175000,US,M,Data Engineer,senior,full-time,remote
2023,185000,US,M,Data Engineer,senior,full-time,on-site
2023,140000,US,M,Data Engineer,senior,full-time,on-site
2023,48289,ES,M,Data Scientist,senior,full-time,on-site
2023,38631,ES,M,Data Scientist,senior,full-time,on-site
2023,105000,US,M,Data Scientist,senior,full-time,on-site
2023,70000,US,M,Data Scientist,senior,full-time,on-site
2023,163196,US,M,ML engineer,entry-level,full-time,on-site
2023,145885,US,M,ML engineer,entry-level,full-time,on-site
2023,217000,US,M,Data Engineer,senior,full-time,remote
2023,185000,US,M,Data Engineer,senior,full-time,remote
2023,202800,US,L,Data Analyst,senior,full-time,on-site
2023,104300,US,L,Data Analyst,senior,full-time,on-site
2023,145000,US,M,Data Analyst,senior,full-time,on-site
2023,65000,US,M,Data Analyst,senior,full-time,on-site
2023,165000,US,M,Data Engineer,senior,full-time,on-site
2023,132300,US,M,Data Engineer,senior,full-time,on-site
2023,179170,US,M,Data Engineer,senior,full-time,on-site
2023,94300,US,M,Data Engineer,senior,full-time,on-site
2023,152500,US,M,Analytics engineer,senior,full-time,on-site
2023,116450,US,M,Analytics engineer,senior,full-time,on-site
2023,247300,US,M,Data Engineer,senior,full-time,on-site
2023,133800,US,M,Data Engineer,senior,full-time,on-site
2023,203000,US,M,Data Scientist,senior,full-time,on-site
2023,133000,US,M,Data Scientist,senior,full-time,on-site
2023,220000,US,L,Data Scientist,entry-level,full-time,hybrid
2022,56536,CH,S,ML engineer,entry-level,full-time,remote
2023,150000,US,M,Data Scientist,senior,full-time,on-site
2023,120000,US,M,Data Scientist,senior,full-time,on-site
2023,289800,US,M,Analytics engineer,senior,full-time,on-site
2023,214000,US,M,Analytics engineer,senior,full-time,on-site
2023,179820,US,M,Analytics engineer,senior,full-time,on-site
2023,143860,US,M,Analytics engineer,senior,full-time,on-site
2023,283200,US,M,ML engineer,senior,full-time,remote
2023,188800,US,M,ML engineer,senior,full-time,remote
2023,289800,US,M,Analytics engineer,senior,full-time,on-site
2023,214200,US,M,Analytics engineer,senior,full-time,on-site
2023,185900,US,M,Data Engineer,senior,full-time,on-site
2023,129300,US,M,Data Engineer,senior,full-time,on-site
2023,252000,US,M,Data Engineer,senior,full-time,on-site
2023,129000,US,M,Data Engineer,senior,full-time,on-site
2023,155000,US,M,Data Lead,mid-level,full-time,on-site
2023,140000,US,M,Data Lead,mid-level,full-time,on-site
2023,161800,US,M,Data Engineer,senior,full-time,remote
2023,141600,US,M,Data Engineer,senior,full-time,remote
2023,342300,US,L,ML engineer,senior,full-time,on-site
2023,176100,US,L,ML engineer,senior,full-time,on-site
2023,100000,US,M,Data Engineer,mid-level,full-time,remote
2023,70000,US,M,Data Engineer,mid-level,full-time,remote
2023,85000,US,M,Data Engineer,entry-level,full-time,on-site
2023,65000,US,M,Data Engineer,entry-level,full-time,on-site
2023,138784,US,M,Data Scientist,senior,full-time,remote
2023,83270,US,M,Data Scientist,senior,full-time,remote
2023,75000,US,M,Data Analyst,entry-level,full-time,on-site
2023,70000,US,M,Data Analyst,entry-level,full-time,on-site
2023,204500,US,M,Data Analyst,senior,full-time,on-site
2023,138900,US,M,Data Analyst,senior,full-time,on-site
2023,318300,US,M,ML engineer,senior,full-time,remote
2023,212200,US,M,ML engineer,senior,full-time,remote
2023,95000,US,M,Data Engineer,senior,full-time,remote
2023,75000,US,M,Data Engineer,senior,full-time,remote
2023,195000,US,M,Data Scientist,senior,full-time,on-site
2023,160000,US,M,Data Scientist,senior,full-time,on-site
2023,230000,US,M,Analytics engineer,senior,full-time,on-site
2023,143200,US,M,Analytics engineer,senior,full-time,on-site
2023,100000,US,M,Data Engineer,mid-level,full-time,remote
2023,70000,US,M,Data Engineer,mid-level,full-time,remote
2023,105000,US,L,Data Analyst,mid-level,full-time,hybrid
2023,20670,IN,L,Data Scientist,mid-level,full-time,remote
2023,46178,GB,M,Data Analyst,mid-level,full-time,on-site
2023,42533,GB,M,Data Analyst,mid-level,full-time,on-site
2023,145000,US,M,Data Engineer,senior,full-time,on-site
2023,115000,US,M,Data Engineer,senior,full-time,on-site
2023,168400,US,M,Data Analyst,senior,full-time,on-site
2023,105200,US,M,Data Analyst,senior,full-time,on-site
2023,309400,US,L,Data Scientist,senior,full-time,on-site
2023,159100,US,L,Data Scientist,senior,full-time,on-site
2023,190000,US,M,ML engineer,senior,full-time,on-site
2023,150000,US,M,ML engineer,senior,full-time,on-site
2023,162500,US,M,Data Engineer,mid-level,full-time,on-site
2023,130000,US,M,Data Engineer,mid-level,full-time,on-site
2023,150000,US,M,Analytics engineer,senior,full-time,remote
2023,120000,US,M,Analytics engineer,senior,full-time,remote
2023,145000,US,M,Data Engineer,senior,full-time,on-site
2023,120000,US,M,Data Engineer,senior,full-time,on-site
2023,222200,US,L,Data Scientist,senior,full-time,on-site
2023,136000,US,L,Data Scientist,senior,full-time,on-site
2023,54685,CF,M,Data Analyst,senior,full-time,remote
2023,42533,CF,M,Data Analyst,senior,full-time,remote
2023,241000,US,M,Data Engineer,senior,full-time,on-site
2023,155000,US,M,Data Engineer,senior,full-time,on-site
2023,220000,US,M,Data Engineer,senior,full-time,remote
2023,190000,US,M,Data Engineer,senior,full-time,remote
2023,66837,GB,M,Data Scientist,mid-level,full-time,on-site
2023,54685,GB,M,Data Scientist,mid-level,full-time,on-site
2020,15000,NG,M,Data Analyst,executive,full-time,on-site
2023,85066,GB,M,Data Engineer,mid-level,full-time,remote
2023,57723,GB,M,Data Engineer,mid-level,full-time,remote
2023,85000,US,M,Data Analyst,entry-level,full-time,remote
2023,75000,US,M,Data Analyst,entry-level,full-time,remote
2023,160000,US,M,Data Engineer,senior,full-time,on-site
2023,140000,US,M,Data Engineer,senior,full-time,on-site
2023,300000,US,M,ML engineer,mid-level,full-time,on-site
2023,250000,US,M,ML engineer,mid-level,full-time,on-site
2023,228000,US,M,Data Scientist,senior,full-time,on-site
2023,186000,US,M,Data Scientist,senior,full-time,on-site
2023,190000,US,M,Data Scientist,senior,full-time,on-site
2023,170000,US,M,Data Scientist,senior,full-time,on-site
2023,230000,US,M,Data Scientist,mid-level,full-time,on-site
2023,200000,US,M,Data Scientist,mid-level,full-time,on-site
2023,180000,US,M,Data Architect,senior,full-time,remote
2023,115000,US,M,Data Architect,senior,full-time,remote
2023,200000,US,M,Data Architect,senior,full-time,remote
2023,115000,US,M,Data Architect,senior,full-time,remote
2023,53654,FR,S,Data Engineer,senior,full-time,hybrid
2023,220000,US,M,Data Engineer,executive,full-time,on-site
2023,205000,US,M,Data Engineer,executive,full-time,on-site
2023,180000,US,M,Data Engineer,mid-level,full-time,on-site
2023,130000,US,M,Data Engineer,mid-level,full-time,on-site
2023,200000,US,M,Data Engineer,senior,full-time,remote
2023,150000,US,M,Data Engineer,senior,full-time,remote
2023,215000,US,M,ML engineer,senior,full-time,on-site
2023,170000,US,M,ML engineer,senior,full-time,on-site
2023,247500,US,M,ML engineer,senior,full-time,on-site
2023,172200,US,M,ML engineer,senior,full-time,on-site
2023,224000,CA,M,Data Scientist,senior,full-time,on-site
2023,176000,CA,M,Data Scientist,senior,full-time,on-site
2023,120000,US,M,Data Analyst,senior,full-time,remote
2023,75000,US,M,Data Analyst,senior,full-time,remote
2023,17022,IN,L,Data Engineer,entry-level,full-time,remote
2023,68318,AU,M,Data Scientist,senior,full-time,remote
2023,75020,FI,M,ML engineer,mid-level,full-time,on-site
2023,140000,US,M,Data Analyst,senior,full-time,on-site
2023,120000,US,M,Data Analyst,senior,full-time,on-site
2023,128000,US,M,Data Engineer,senior,full-time,on-site
2023,81500,US,M,Data Engineer,senior,full-time,on-site
2023,145000,US,M,Data Engineer,senior,full-time,on-site
2023,115000,US,M,Data Engineer,senior,full-time,on-site
